公司名称,公司链接,上班地址,行政区,发布时间,学历,月薪,经验,招聘人数,城市,职业名,公司类型,公司总人数
美团点评,http://special.zhaopin.com/2017/bj/bjsk032382,自强路118号中交财富中心2号楼,桥西区,2019-04-29 10:45:44,本科,面议,1-3年,3,石家庄,数据分析专员,"互联网/电子商务,快速消费品（食品/饮料/烟酒/日化）,零售/批发,计算机软件",10000人以上
石家庄氐宿企业管理咨询有限公司,http://special.zhaopin.com/pagepublish/62759702/index.html,胜利北街3号嘉艺大厦12层,,2019-04-29 10:50:58,本科,4千-6千,1-3年,1,石家庄,数据分析专员,"银行,专业服务/咨询(财会/法律/人力资源等),外包服务",100-499人
花生好车,http://special.zhaopin.com/pagepublish/29356733/index.html,华宸怡园底商花生好车,长安区,2019-04-29 13:28:10,本科,7千-9千,3-5年,1,石家庄,战区数据分析,"租赁服务,专业服务/咨询(财会/法律/人力资源等)",1000-9999人
石家庄波司登贸易有限公司,http://company.zhaopin.com/CZ179791320.htm,石家庄市裕华区槐安东路105号怀特商业广场写字楼A座17楼,,2019-04-29 12:14:07,大专,4千-6千,1-3年,1,石家庄,商品数据分析员,"耐用消费品（服饰/纺织/皮革/家具/家电）,零售/批发",20-99人
河北天域信息技术有限公司,http://company.zhaopin.com/CZ320474680.htm,石家庄市桥东区中山路39号勒泰中心（B座）写字楼37/38/39层,,2019-04-29 13:14:21,本科,5千-8千,不限,3,石家庄,数据分析师,"互联网/电子商务,计算机软件,IT服务(系统/数据/维护),其他",500-999人
美团点评,http://special.zhaopin.com/2017/bj/bjsk032382,石家庄桥西区金石大厦,,2019-04-22 18:03:49,本科,面议,1-3年,1,石家庄,数据分析员,"互联网/电子商务,快速消费品（食品/饮料/烟酒/日化）,零售/批发,计算机软件",10000人以上
百度河北地区营销服务中心,http://special.zhaopin.com/sjz/2012/pg030971/index.htm,石家庄市桥东区中山路39号勒泰中心（B座）写字楼36/37/38/39层,,2019-04-26 15:26:47,本科,5千-8千,不限,2,石家庄,数据分析专员,"互联网/电子商务,IT服务(系统/数据/维护)",1000-9999人
石家庄北国人百集团有限责任公司,http://special.zhaopin.com/pagepublish/19151751/index.html,石家庄市中山东路188号,,2019-04-28 00:50:15,本科,4千-6千,不限,5,石家庄,品牌数据统计与分析岗,零售/批发,10000人以上
河北御芝林生物科技有限公司,http://special.zhaopin.com/pagepublish/22183641/index.html,石家庄昆仑大街与海河道交叉口，沿海河道向东行100米路南,东开发区,2019-04-24 09:13:58,本科,6千-8千,3-5年,1,石家庄,数据分析师,"医药/生物工程,零售/批发",1000-9999人
宸宇建设集团有限公司河北分公司,http://company.zhaopin.com/CZ627656430.htm,平安公园,,2019-04-25 08:42:54,本科,4千-6千,不限,1,石家庄,环境工程（大气数据分析）,"房地产/建筑/建材/工程,能源|矿产|环保",500-999人
